transaction_id,amount,failure_reason,action,success_probability,expected_revenue,success,recovered_amount
TXN_000001,2971.18,authentication_failed,customer_followup,0.8882,2639.0020759999998,1,2971.18
TXN_000002,1574.57,network_error,retry,0.95,1495.8414999999998,0,0.0
TXN_000003,3455.38,insufficient_funds,retry_later,0.6617,2286.424946,0,0.0
TXN_000004,8291.86,limit_exceeded,alternate_payment,0.8792,7290.203312000001,1,8291.86
TXN_000005,1430.6,card_expired,customer_followup,0.7297,1043.9088199999999,1,1430.6
TXN_000006,1430.62,card_expired,customer_followup,0.6912,988.8445439999999,1,1430.62
TXN_000007,8771.06,card_expired,customer_followup,0.7647,6707.229582,1,8771.06
TXN_000008,3894.94,network_error,retry,0.8897,3465.3281180000004,1,3894.94
TXN_000009,1130.62,bank_decline,alternate_payment,0.8794,994.2672279999998,1,1130.62
TXN_000010,3110.57,authentication_failed,customer_followup,0.7035,2188.285995,0,0.0
TXN_000011,1137.49,insufficient_funds,retry_later,0.796,905.44204,1,1137.49
TXN_000012,1134.87,insufficient_funds,retry_later,0.6077,689.660499,0,0.0
TXN_000013,2302.99,card_expired,customer_followup,0.8387,1931.5177129999997,1,2302.99
TXN_000014,266.86,limit_exceeded,alternate_payment,0.4818,128.573148,1,266.86
TXN_000015,322.17,card_expired,customer_followup,0.8343,268.78643100000005,1,322.17
TXN_000016,1030.41,limit_exceeded,alternate_payment,0.8569,882.958329,1,1030.41
TXN_000017,656.66,insufficient_funds,retry_later,0.6715,440.94719,1,656.66
TXN_000018,2475.62,authentication_failed,customer_followup,0.5713,1414.321706,1,2475.62
TXN_000019,729.22,insufficient_funds,retry_later,0.5243,382.330046,1,729.22
TXN_000020,440.41,card_expired,customer_followup,0.6385,281.201785,1,440.41
TXN_000021,7829.46,card_expired,customer_followup,0.7487,5861.916702,1,7829.46
TXN_000022,1442.63,network_error,retry,0.95,1370.4985000000001,1,1442.63
TXN_000023,1934.35,card_expired,customer_followup,0.6358,1229.85973,1,1934.35
TXN_000024,434.96,network_error,retry_later,0.5652,245.839392,1,434.96
TXN_000025,1049.03,authentication_failed,customer_followup,0.8601,902.2707029999999,1,1049.03
TXN_000026,2020.14,card_expired,customer_followup,0.9276,1873.881864,1,2020.14
TXN_000027,571.92,card_expired,customer_followup,0.7465,426.93828,1,571.92
TXN_000028,2632.52,insufficient_funds,retry_later,0.6939,1826.705628,1,2632.52
TXN_000029,991.64,card_expired,customer_followup,0.6319,626.617316,1,991.64
TXN_000030,1350.6,authentication_failed,customer_followup,0.6553,885.0481799999999,1,1350.6
TXN_000031,990.58,limit_exceeded,alternate_payment,0.6976,691.0286080000001,1,990.58
TXN_000032,11525.05,bank_decline,alternate_payment,0.6394,7369.116969999999,1,11525.05
