transaction_id,amount,payment_method,merchant_category,customer_tenure_days,previous_success_rate,transaction_hour,retry_count,customer_monthly_transactions,failure_reason,action,simulated_success_probability,recovered,recovered_amount
TXN_000001,2971.18,card,education,893,0.868,1,0,27,authentication_failed,retry,0.4882,1,2971.18
TXN_000001,2971.18,card,education,893,0.868,1,0,27,authentication_failed,retry_later,0.5882,0,0.0
TXN_000001,2971.18,card,education,893,0.868,1,0,27,authentication_failed,alternate_payment,0.6882,0,0.0
TXN_000001,2971.18,card,education,893,0.868,1,0,27,authentication_failed,customer_followup,0.8882,1,2971.18
TXN_000001,2971.18,card,education,893,0.868,1,0,27,authentication_failed,stop,0.01,0,0.0
TXN_000002,1574.57,card,food,1426,0.779,9,0,7,network_error,retry,0.95,1,1574.57
TXN_000002,1574.57,card,food,1426,0.779,9,0,7,network_error,retry_later,0.7766,1,1574.57
TXN_000002,1574.57,card,food,1426,0.779,9,0,7,network_error,alternate_payment,0.6766,0,0.0
TXN_000002,1574.57,card,food,1426,0.779,9,0,7,network_error,customer_followup,0.5766,0,0.0
TXN_000002,1574.57,card,food,1426,0.779,9,0,7,network_error,stop,0.01,0,0.0
TXN_000003,3455.38,card,education,1255,0.855,11,3,12,insufficient_funds,retry,0.3117,1,3455.38
TXN_000003,3455.38,card,education,1255,0.855,11,3,12,insufficient_funds,retry_later,0.6617,0,0.0
TXN_000003,3455.38,card,education,1255,0.855,11,3,12,insufficient_funds,alternate_payment,0.4617,0,0.0
TXN_000003,3455.38,card,education,1255,0.855,11,3,12,insufficient_funds,customer_followup,0.5117,1,3455.38
TXN_000003,3455.38,card,education,1255,0.855,11,3,12,insufficient_funds,stop,0.01,0,0.0
TXN_000004,8291.86,card,education,1363,0.97,15,1,15,limit_exceeded,retry,0.4792,1,8291.86
TXN_000004,8291.86,card,education,1363,0.97,15,1,15,limit_exceeded,retry_later,0.5792,1,8291.86
TXN_000004,8291.86,card,education,1363,0.97,15,1,15,limit_exceeded,alternate_payment,0.8792,1,8291.86
TXN_000004,8291.86,card,education,1363,0.97,15,1,15,limit_exceeded,customer_followup,0.5792,1,8291.86
TXN_000004,8291.86,card,education,1363,0.97,15,1,15,limit_exceeded,stop,0.01,0,0.0
TXN_000005,1430.6,upi,saas,5,0.621,16,0,24,card_expired,retry,0.3297,0,0.0
